tidestatio,latitude,longitude,municipali,barangay,province,tideobserv,status,code,Long,Lat
SAN CARLOS  TIDE STATION,"10°28'40.2""N","123°25'22.7""E",SAN CARLOS,BARANGAY VI (POB.),NEGROS OCCIDENTAL,ELMER C. ITAVAG,OPERATIONAL,SC,123.42298160,10.47783890
SAN FERNANDO  TIDE STATION,"16°36'37.3""N","120°17'40.8""E",SAN FERNANDO,PORO,LA UNION,WILSON R. DUMO,OPERATIONAL,SF,120.29465338,16.61036282
MATI  TIDE STATION,"6°56'54.1""N","126°13'08.4""E",MATI,CENTRAL (POB.),DAVAO ORIENTAL,JAY CARLO DELOSO,OPERATIONAL,MT,126.21900971,6.94835743
DUMAGUETE TIDE STATION,"9°18'45.0""N","123°18'37.9""E",DUMAGUETE,LOOC,NEGROS ORIENTAL,APOL C. TORIO,OPERATIONAL,DG,123.31051305,9.31251234
CURRIMAO  TIDE STATION,"17°59'16.3""N","120°29'15.5""E",CURRIMAO,MAGLAOI NORTE,ILOCOS NORTE,BENMAR RABOR,OPERATIONAL,CM,120.48764985,17.98787116
BANTAYAN TIDE STATION,"11°09'55.9""N","123°48'28.3""E",BANTAYAN,TALISAY,CEBU,ADOREGELL PESCANTE,OPERATIONAL,BI,123.80784943,11.16552305
PASACAO TIDE STATION,"13°30'18.4""N","123°02'30.4""E",PASACAO,SANTA ROSA DEL SUR (POB.),CAMARINES SUR,JEFFREY A. DIESTA,OPERATIONAL,PS,123.04176618,13.50509815
EL NIDO  TIDE STATION,"11°10'52.4""N","119°23'11.7""E",EL NIDO,BUENA SUERTE PBLACION,PALAWAN,SONNY B. ARANGAT,OPERATIONAL,EL,119.38656937,11.18121044
JOSE PANGANIBAN  TIDE STATION,"14°18'51.3""N","122°40'26.2""E",JOSE PANGANIBAN,OSMEÑA,CAMARINES NORTE,ORLANDO O. DEFEO,OPERATIONAL,JP,122.67394817,14.31425778
MANILA  TIDE STATION,"14°34'55.7""N","120°58'17.6""E",METRO MANILA,BARANGAY 653,NATIONAL CAPITAL REGION,JOSHUA VENARABLE,OPERATIONAL,ML,120.97154375,14.58214040
MASBATE  TIDE STATION,"12°22'03.6""N","123°37'00.1""E",MASBATE,BAPOR (POB.),MASBATE,RICHIE D. RIBOT,OPERATIONAL,MB,123.61670391,12.36765965
PUERTO PRINCESA TIDE STATION,"9°44'37.4""N","118°43'41.1""E",PUERTO PRINCESA,BAGONG PAG-ASA (POB.),PALAWAN,JONATHAN D. SERRAON,OPERATIONAL,PW,118.72809440,9.74370833
"SAN JOSE, ANTIQUE  TIDE STATION","10°44'14.8""N","121°56'18.7""E",SAN JOSE ANTIQUE,"BARANGAY 4 (POB,)",ANTIQUE,EDILBERTO D. VERGAFRIA,OPERATIONAL,SA,121.93851497,10.73743856
"SAN JOSE, MINDORO  TIDE STATION","12°19'49.5""N","121°05'19.6""E",SAN JOSE MINDORO,CAMINAWIT,OCCIDENTAL MINDORO,EDGARDO V. LAZARO,OPERATIONAL,SJ,121.08877414,12.33042825
"SAN JOSE, N. SAMAR  TIDE STATION","12°32'01.1""N","124°29'07.6""E",SAN JOSE SAMAR,BARANGAY NORTH (POB.),NORTHERN SAMAR,RODERICK A. MANDREZA,OPERATIONAL,SN,124.48543278,12.53364907
PORT IRENE  TIDE STATION,"18°22'58.6""N","122°06'37.4""E",PORT IRENE,CASAMBALAGAN,CAGAYAN,DOMINADOR  MANERA,OPERATIONAL,IR,122.11039824,18.38294913
SUBIC  TIDE STATION,"14°45'56.1""N","120°15'03.2""E",SUBIC,OLD CABALAN,ZAMBALES,N/A,OPERATIONAL,SB,120.25089720,14.76557222
SURIGAO  TIDE STATION,"9°46'47.6""N","125°29'52.0""E",SURIGAO,TAFT (POB.),SURIGAO DEL NORTE,LOLITO S. ELARDO,OPERATIONAL,SR,125.49776857,9.77988559
TACLOBAN  TIDE STATION,"11°14'54.3""N","124°59'59.1""E",TACLOBAN,LIBERTAD (BARANGAYS 1 & 4),LEYTE,JUDY TY,OPERATIONAL,TC,124.99974363,11.24840466
TANDAG  TIDE STATION,"9°05'06.4""N","126°11'49.4""E",TANDAG,BONGTOD POB. (EAST WEST),SURIGAO DEL SUR,INOCENCIO P. SUAREZ JR.,OPERATIONAL,TG,126.19705108,9.08512021
VIRAC  TIDE STATION,"13°34'54.7""N","124°14'03.5""E",VIRAC,SALVACION,CATANDUANES,JAYFORD JOHN R. PANTI,OPERATIONAL,VC,124.23429200,13.58187330
ZAMBOANGA  TIDE STATION,"6°54'54.8""N","122°02'16.9""E",ZAMBOANGA,CALARIAN,ZAMBOANGA DEL SUR,NELSON G. BRANDES,OPERATIONAL,ZB,122.03802500,6.91521389
TAGBILARAN  TIDE STATION,"9°38'57.4""N","123°50'49.9""E",TAGBILARAN,COGON,BOHOL,CORNELIO P. ANO III,OPERATIONAL,TB,123.84719624,9.64927618
BATANES  TIDE STATION,"20°26'51.7""N","121°58'00.2""E",BATANES,SAN ANTONIO,BATANES,REYMON B. AGAS,OPERATIONAL,BS,121.96666298,20.44764129
BAYBAY TIDE STATION,"10°40'30.0""N","124°47'45.6""E",BAYBAY,POBLACION ZONE 10,LEYTE,JLAE MASCARINAS,OPERATIONAL,BY,124.79591739,10.67511639
MASINLOC TIDE STATION,"15°32'19.5""N","119°56'47.5""E",MASINLOC,NORTH POBLACION,ZAMBALES,JOHN D. ALGABA,OPERATIONAL,MS,119.94656165,15.53871982
LILOY TIDE STATION,"8°08'18.4""N","122°40'35.9""E",LILOY,LAMAO,ZAMBOANGA,JOSHUA CATACUTAN,OPERATIONAL,LY,122.67644143,8.13826872
HINOBAAN TIDE STATION,"9°37'55.9""N","122°27'00.5""E",HINOBAAN,BACUYANGAN,NEGROS OCCIDENTAL,JOHN PINGCAS II,OPERATIONAL,HB,122.45013833,9.63219510
NAVAL TIDE STATION,"11°33'36.0""N","124°23'27.1""E",NAVAL,SANTISSIMO ROSARIO POBLACION,BILIRAN,NIEL VINCENT DEMATE,OPERATIONAL,NV,124.39085873,11.55998382
KALAMANSIG TIDE STATION,"6°33'09.7""N","124°02'39.0""E",KALAMANSIG,POBLACION,SULTAN KUDARAT,MARION CAMBAN,OPERATIONAL,KG,124.04420982,6.55260774
BISLIG TIDE STATION,"8°14'16.1""N","126°25'53.7""E",BISLIG,LAWIGAN,SURIGAO DEL SUR,JEFFRY O. BANA-AG,OPERATIONAL,BG,126.43155676,8.23790222
SIARGAO TIDE STATION,"10°00'53.9""N","126°01'54.3""E",SIARGAO,T. ARLAN,SURIGAO DEL NORTE,JOEY SALUDEZ,OPERATIONAL,SG,126.03173820,10.01498250
JOLO TIDE STATION,"6°03'25.7""N","120°59'59.7""E",JOLO,WALLED CITY,SULU,N/A,NOT OPERATIONAL,JL,120.99997221,6.05716494
